Id,Label
9908181,On spin-1 massive particles coupled to a Chern-Simons field
9910124,Holographic Counterterm Actions and Anomalies for Asymptotic AdS and
9909043,Correlation Functions of the Energy Momentum Tensor on Spaces of
9908194,Cosmic String Helicity: Constraints on Loop Configurations; and the
9908205,10 = 6 + 4
9909194,Remark about Non-BPS D-Brane in Type IIA Theory
9909084,The Modified Bargmann-Wigner Formalism: Longitudinal Fields; Parity and
9908105,Born-Infeld action; supersymmetry and string theory
9909121,Symmetric Potentials of Gauged Supergravities in Diverse Dimensions and
9909160,Static Axially Symmetric Einstein-Yang-Mills-dilaton solutions: Addendum
9909165,Effective Couplings of Dynamical Nambu-Goldstone Bosons with Elementary
9909229,Heterotic String Conformal Field Theory And A-D-E Singularities
9908118,Semi-Hopf Algebra and Supersymmetry
9908117,Coherent States in Field Theory
9908137,Non-perturbative Supersymmetry Breaking and Finite Temperature
9908127,Equivalence of the Sutherland Model to Free Particles on a Circle
9909168,On the constraints defining BPS monopoles
9908175,Spin-Two Glueballs; Positive Energy Theorems and the AdS/CFT
9908108,Geometry of the non-Abelian 2-index potential and twisted de Rham
9909177,Exact low-energy effective actions for hypermultiplets in four
9909010,On Non-tachyonic Z_N x Z_M Orientifolds of Type 0B String Theory
9909185,Dimensionally continued multi-loop gauge theory
9908134,Large N Limit of Non-Commutative Gauge Theories
9908191,Orthogonal polynomial method and odd vertices in matrix models
9909075,Nonabelian Monopoles from Matrices: Seeds of the Spacetime Structure
9909201,Equivalence Principle; Higher Dimensional Moebius Group and the Hidden
9909187,Constant field strengths on T^{2n}
9909131,From Topological Field Theories to Covariant Matrix Strings
9908130,Supersymmetric Orientifolds in 6D with D-Branes at Angles
9909134,Modeling the fifth dimension with scalars and gravity
9909182,Testing Stability of M-Theory on an S^1/Z_2 Orbifold
9908122,F-Theories with Reduced Monodromy and Effective String Theories
9909074,Creation of scalar particles in the presence of a constant electric
9909184,Supercharges; Killing Spinors and Intersecting Gauge Five-branes
9909049,Black holes and the phases of brane thermodynamics
9909012,Supersymmetry and Gravitational Quadrupoles
9909162,Sewing string tree vertices with ghosts
9909193,"New ""Electric"" Description of Supersymmetric Quantum Chromodynamics"
9909150,On Discrete U-duality in M-theory
9908172,Recursive Graphical Construction of Feynman Diagrams in phi^4 Theory:
9909044,Asymptotic Dynamics in Quantum Field Theory
9908139,D-Brane Recoil and Supersymmetry Breaking as a Relaxation Process
9909217,Soluble field theory with a massless gauge invariant limit
9909170,Parametric holomorphy? Triviality versus Duality in Sinh-Gordon
9908184,S-Matrix Identities in Affine Toda Field Theories
9909206,Deformation Quantization of Classical Fields
9908145,Ultra-Relativistic Hamiltonian with Various Singular Potentials
9909203,Five-dimensional N=4; SU(2) X U(1) Gauged Supergravity from Type IIB
9909125,Z-D Brane Box Models and Non-Chiral Dihedral Quivers
9908198,Dilatonic AdS-Kerr Solution to AdS/CFT Correspondence
9909200,Consistent Perturbative Light Front Formulation of Yang-Mills Theories
9909151,Gauge fields in a discrete approach
9908128,Antisymmetrised 2p-forms generalising curvature 2-forms and a
9908209,On supergravity in (10;2)
9908116,Non-standard compactifications with mass gaps and Newton's law
9908166,Dbrane Phase Transitions and Monodromy in K-theory
9909019,A comment on finite temperature correlations in integrable QFT
9909016,"Introduction to the Yuri Golfand Memorial Volume ""Many Faces of"
9909142,Periodic Bounce for Nucleation Rate at Finite Temperature in
9909080,T-duality and Gauge Theories from Near Horizon Dp-branes
9909058,Supersymmetric Domain-Wall World from D=5 Simple Gauged Supergravity
9909079,Mixed Branes at Angle in Compact Spacetime
9909115,On the BFFT quantization of first order systems
9908206,Dilaton Field and Massless Particle for 2d Gravity
9909178,Map of Heterotic and Type IIB Moduli in 8 Dimensions
9908104,Mass Hierarchy from Many Domain Walls
9910125,New S-dualities in N=2 supersymmetric SU(2) x SU(2) gauge theory
9908197,Quantization of gauge theory for gauge dependent operators
9909023,3D van der Waals sigma-model and topological excitations with
9909035,Comments on the Moduli Dynamics of 1/4 BPS Dyons
9909027,Corrections to D-brane Action and Generalized Boundary State
9909095,Generalized Supersymetric Boundary State
9909069,Anti-de Sitter Fragmentation
9909208,Color Confinement in QCD due to Topological Defects
9909098,BPS States with Extra Supersymmetry
9909161,Eichler integrals and String Theory
9909148,Radiation from Accelerated Branes
9909174,Aspects of classical backgrounds and scattering for affine Toda theory
9910131,The century of the incomplete revolution: searching for general
9909060,Branched Polymer Revisited
9909034,Solutions of the Einstein-Dirac and Seiberg-Witten Monopole Equations
9909145,Boundary breathers in the sinh-Gordon model
9909056,Quasinormal Modes of AdS Black Holes and the Approach to Thermal
9909113,Towards an Effective Field Theory of QED
9909132,Derivative corrections to Dirac-Born-Infeld Lagrangian and
9909181,Phase Transition Couplings in the Higgsed Monopole Model
9909146,Topological String on AdS_3 x N
9909120,Discrete Torsion and Gerbes II
9908141,Noncommutative Yang-Mills in IIB Matrix Model
9909140,Conformal boundary conditions and three-dimensional topological field
9909061,Superstring Cosmology
9909141,QCD Fishnets Revisited
9909067,Modular Transformations and Invariants in the Context of Fractional
9908131,The massless Thirring model in spherical field theory
9908199,Aspects of duality
9908174,Gauge Hierarchy from $AdS_5$ Universe with 3-Branes
9910127,Canonical Quantization of Chern-Simons on the Light-Front
9908204,The Freckled Instantons
9908114,Light cone gauge formulation of IIB supergravity in $AdS_5 \times S^5$
9909175,A Non-perturbative Solution of the Zero-Dimensional lambda phi^4 Field
9909172,Standard-like Models with Broken Supersymmetry from Type I String Vacua
9909149,Interacting strings on AdS_3
9909118,Confinement; solitons and the equivalence between the sine-Gordon and
9909183,On Holomorphic Effective Actions of Hypermultiplets Coupled to External
9908124,Glueballs in a Hamiltonian Light-Front Approach to Pure-Glue QCD
9908167,Application of Conformal Gauge Theories Derived from Field-String
9909038,On the fundamental structure of nature and the unification of forces
9909072,Tension is Dimension
9909224,Elliptic analog of the Toda lattice
9908142,String Theory and Noncommutative Geometry
9908193,On discrete Twist and Four-Flux in N=1 heterotic/F-theory
9908173,Loss of Causality in Discretized Light-Cone Quantisation
9910123,Free harmonic oscillators; Jack polynomials and Calogero-Sutherland
9908129,M-Theory and Hypercharge
9908112,Improved BFT quantization of O(3) nonlinear sigma model
9909004,Instantons and Monopoles in General Abelian Gauges
9909213,On The Size of The Graviton
9909126,Renormalization in quantum field theory and the Riemann-Hilbert problem
9909128,Vertex operators; semiclassical limit for soliton S-matrices and the
9909086,The Dimensional-Reduction Anomaly
